label	family	scope	C	rank_metric	rank_value	n	positives	negatives	prevalence	threshold	tp	fp	tn	fn	accuracy	balanced_accuracy	precision	recall	f1	mcc	specificity	aupr	auroc	all_negative_accuracy	all_negative_balanced_accuracy	all_negative_f1	aupr_lift_over_prevalence
pseudouridine_synthase	mechanism	mechanism_labeled	0.003	aupr	0.9974929627023222	209	28	181	0.1339712918660287	0.7938541802757574	28	1	180	0	0.9952153110047847	0.9972375690607735	0.9655172413793104	1.0	0.9824561403508771	0.9798892243409072	0.994475138121547	0.9974929627023222	0.9996053670086819	0.8660287081339713	0.5	0.0	7.445572471599476
pseudouridine_synthase	mechanism	mechanism_labeled	0.01	aupr	0.9987684729064039	209	28	181	0.1339712918660287	0.8336508197151266	28	1	180	0	0.9952153110047847	0.9972375690607735	0.9655172413793104	1.0	0.9824561403508771	0.9798892243409072	0.994475138121547	0.9987684729064039	0.999802683504341	0.8660287081339713	0.5	0.0	7.455093244194229
pseudouridine_synthase	mechanism	mechanism_labeled	0.03	aupr	1.0	209	28	181	0.1339712918660287	0.8666822752963571	28	0	181	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	0.8660287081339713	0.5	0.0	7.464285714285714
pseudouridine_synthase	mechanism	mechanism_labeled	0.1	aupr	1.0	209	28	181	0.1339712918660287	0.8989753740380362	28	0	181	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8660287081339713	0.5	0.0	7.464285714285714
pseudouridine_synthase	mechanism	mechanism_labeled	0.3	aupr	1.0	209	28	181	0.1339712918660287	0.9234049306087951	28	0	181	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8660287081339713	0.5	0.0	7.464285714285714
pseudouridine_synthase	mechanism	mechanism_labeled	1.0	aupr	1.0	209	28	181	0.1339712918660287	0.9445886174742609	28	0	181	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8660287081339713	0.5	0.0	7.464285714285714
pseudouridine_synthase	mechanism	mechanism_labeled	3.0	aupr	1.0	209	28	181	0.1339712918660287	0.9591252202228235	28	0	181	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8660287081339713	0.5	0.0	7.464285714285714
pseudouridine_synthase	mechanism	mechanism_labeled	10.0	aupr	0.9999999999999998	209	28	181	0.1339712918660287	0.9676067615784311	28	0	181	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999998	1.0	0.8660287081339713	0.5	0.0	7.464285714285713
queuosine_pathway	mechanism	mechanism_labeled	0.003	aupr	0.9991342973643857	209	110	99	0.5263157894736842	0.7570622213436474	108	0	99	2	0.9904306220095693	0.990909090909091	1.0	0.9818181818181818	0.9908256880733946	0.9810077663422254	1.0	0.9991342973643857	0.998989898989899	0.47368421052631576	0.5	0.0	1.898355164992333
queuosine_pathway	mechanism	mechanism_labeled	0.01	aupr	0.9995172205698518	209	110	99	0.5263157894736842	0.8310573670997269	108	0	99	2	0.9904306220095693	0.990909090909091	1.0	0.9818181818181818	0.9908256880733946	0.9810077663422254	1.0	0.9995172205698518	0.9994490358126721	0.47368421052631576	0.5	0.0	1.8990827190827186
queuosine_pathway	mechanism	mechanism_labeled	0.03	aupr	0.9995948482674143	209	110	99	0.5263157894736842	0.8780640962809592	108	0	99	2	0.9904306220095693	0.990909090909091	1.0	0.9818181818181818	0.9908256880733946	0.9810077663422254	1.0	0.9995948482674143	0.9995408631772268	0.47368421052631576	0.5	0.0	1.8992302117080873
queuosine_pathway	mechanism	mechanism_labeled	0.1	aupr	0.9996760038031154	209	110	99	0.5263157894736842	0.5601138323102128	109	1	98	1	0.9904306220095693	0.9904040404040404	0.990909090909091	0.990909090909091	0.990909090909091	0.9808080808080808	0.98989898989899	0.9996760038031154	0.9996326905417814	0.47368421052631576	0.5	0.0	1.8993844072259194
queuosine_pathway	mechanism	mechanism_labeled	0.3	aupr	0.9996760038031153	209	110	99	0.5263157894736842	0.5563434874472017	109	1	98	1	0.9904306220095693	0.9904040404040404	0.990909090909091	0.990909090909091	0.990909090909091	0.9808080808080808	0.98989898989899	0.9996760038031153	0.9996326905417815	0.47368421052631576	0.5	0.0	1.8993844072259192
queuosine_pathway	mechanism	mechanism_labeled	1.0	aupr	0.9996760038031154	209	110	99	0.5263157894736842	0.5537108886444249	109	1	98	1	0.9904306220095693	0.9904040404040404	0.990909090909091	0.990909090909091	0.990909090909091	0.9808080808080808	0.98989898989899	0.9996760038031154	0.9996326905417814	0.47368421052631576	0.5	0.0	1.8993844072259194
queuosine_pathway	mechanism	mechanism_labeled	3.0	aupr	0.9996760038031156	209	110	99	0.5263157894736842	0.5499375881937086	109	1	98	1	0.9904306220095693	0.9904040404040404	0.990909090909091	0.990909090909091	0.990909090909091	0.9808080808080808	0.98989898989899	0.9996760038031156	0.9996326905417815	0.47368421052631576	0.5	0.0	1.8993844072259198
queuosine_pathway	mechanism	mechanism_labeled	10.0	aupr	0.9997550177095631	209	110	99	0.5263157894736842	0.48636130970586144	110	2	97	0	0.9904306220095693	0.9898989898989898	0.9821428571428571	1.0	0.990990990990991	0.9809697178310792	0.9797979797979798	0.9997550177095631	0.9997245179063361	0.47368421052631576	0.5	0.0	1.89953453364817
t6a_pathway	mechanism	mechanism_labeled	0.003	aupr	0.8840310896180461	209	25	184	0.11961722488038277	0.8134610976746018	21	0	184	4	0.9808612440191388	0.9199999999999999	1.0	0.84	0.9130434782608695	0.9067125562020567	1.0	0.8840310896180461	0.907608695652174	0.8803827751196173	0.5	0.0	7.3904999092068655
t6a_pathway	mechanism	mechanism_labeled	0.01	aupr	0.8893180223285486	209	25	184	0.11961722488038277	0.8004789829371814	21	0	184	4	0.9808612440191388	0.9199999999999999	1.0	0.84	0.9130434782608695	0.9067125562020567	1.0	0.8893180223285486	0.9154347826086957	0.8803827751196173	0.5	0.0	7.434698666666667
t6a_pathway	mechanism	mechanism_labeled	0.03	aupr	0.8996586115722807	209	25	184	0.11961722488038277	0.7766583199362449	21	0	184	4	0.9808612440191388	0.9199999999999999	1.0	0.84	0.9130434782608695	0.9067125562020567	1.0	0.8996586115722807	0.9282608695652174	0.8803827751196173	0.5	0.0	7.521145992744266
t6a_pathway	mechanism	mechanism_labeled	0.1	aupr	0.9088288563288565	209	25	184	0.11961722488038277	0.7537977471664828	21	0	184	4	0.9808612440191388	0.9199999999999999	1.0	0.84	0.9130434782608695	0.9067125562020567	1.0	0.9088288563288565	0.9321739130434783	0.8803827751196173	0.5	0.0	7.59780923890924
t6a_pathway	mechanism	mechanism_labeled	0.3	aupr	0.9136187695876691	209	25	184	0.11961722488038277	0.7370792235465289	21	0	184	4	0.9808612440191388	0.9199999999999999	1.0	0.84	0.9130434782608695	0.9067125562020567	1.0	0.9136187695876691	0.9354347826086956	0.8803827751196173	0.5	0.0	7.637852913752914
t6a_pathway	mechanism	mechanism_labeled	1.0	aupr	0.9191225735858478	209	25	184	0.11961722488038277	0.14351286968513563	22	1	183	3	0.9808612440191388	0.9372826086956522	0.9565217391304348	0.88	0.9166666666666666	0.9068818843261958	0.9945652173913043	0.9191225735858478	0.9397826086956521	0.8803827751196173	0.5	0.0	7.6838647151776875
t6a_pathway	mechanism	mechanism_labeled	3.0	aupr	0.9233819051639229	209	25	184	0.11961722488038277	0.14113108721949438	22	1	183	3	0.9808612440191388	0.9372826086956522	0.9565217391304348	0.88	0.9166666666666666	0.9068818843261958	0.9945652173913043	0.9233819051639229	0.9423913043478261	0.8803827751196173	0.5	0.0	7.719472727170396
t6a_pathway	mechanism	mechanism_labeled	10.0	aupr	0.9244722516790387	209	25	184	0.11961722488038277	0.1490994205049709	22	1	183	3	0.9808612440191388	0.9372826086956522	0.9565217391304348	0.88	0.9166666666666666	0.9068818843261958	0.9945652173913043	0.9244722516790387	0.9447826086956522	0.8803827751196173	0.5	0.0	7.728588024036763
thiolation	mechanism	mechanism_labeled	0.003	aupr	0.9868035190615834	209	22	187	0.10526315789473684	0.8845861835290972	21	0	187	1	0.9952153110047847	0.9772727272727273	1.0	0.9545454545454546	0.9767441860465116	0.9744065296919879	1.0	0.9868035190615834	0.9978123480797277	0.8947368421052632	0.5	0.0	9.374633431085043
thiolation	mechanism	mechanism_labeled	0.01	aupr	0.9930069930069929	209	22	187	0.10526315789473684	0.9384491022791956	21	0	187	1	0.9952153110047847	0.9772727272727273	1.0	0.9545454545454546	0.9767441860465116	0.9744065296919879	1.0	0.9930069930069929	0.9990277102576567	0.8947368421052632	0.5	0.0	9.433566433566433
thiolation	mechanism	mechanism_labeled	0.03	aupr	0.9962121212121211	209	22	187	0.10526315789473684	0.9692943829509096	21	0	187	1	0.9952153110047847	0.9772727272727273	1.0	0.9545454545454546	0.9767441860465116	0.9744065296919879	1.0	0.9962121212121211	0.9995138551288284	0.8947368421052632	0.5	0.0	9.46401515151515
thiolation	mechanism	mechanism_labeled	0.1	aupr	0.9999999999999998	209	22	187	0.10526315789473684	0.6277777030243715	22	0	187	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999998	1.0	0.8947368421052632	0.5	0.0	9.499999999999998
thiolation	mechanism	mechanism_labeled	0.3	aupr	0.9999999999999998	209	22	187	0.10526315789473684	0.6781382749975841	22	0	187	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999998	0.9999999999999999	0.8947368421052632	0.5	0.0	9.499999999999998
thiolation	mechanism	mechanism_labeled	1.0	aupr	0.9999999999999998	209	22	187	0.10526315789473684	0.7354579239064958	22	0	187	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999998	1.0	0.8947368421052632	0.5	0.0	9.499999999999998
thiolation	mechanism	mechanism_labeled	3.0	aupr	0.9999999999999998	209	22	187	0.10526315789473684	0.7890069064564523	22	0	187	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999998	1.0	0.8947368421052632	0.5	0.0	9.499999999999998
thiolation	mechanism	mechanism_labeled	10.0	aupr	0.9999999999999999	209	22	187	0.10526315789473684	0.8392766427403576	22	0	187	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	1.0	0.8947368421052632	0.5	0.0	9.5
wyosine_pathway	mechanism	mechanism_labeled	0.003	aupr	1.0	209	1	208	0.004784688995215311	0.9068943950717611	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	0.9952153110047847	0.5	0.0	209.0
wyosine_pathway	mechanism	mechanism_labeled	0.01	aupr	1.0	209	1	208	0.004784688995215311	0.8851452197977054	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
wyosine_pathway	mechanism	mechanism_labeled	0.03	aupr	0.5	209	1	208	0.004784688995215311	0.8516440513765244	1	1	207	0	0.9952153110047847	0.9975961538461539	0.5	1.0	0.6666666666666666	0.7054049573444703	0.9951923076923077	0.5	0.9951923076923077	0.9952153110047847	0.5	0.0	104.5
wyosine_pathway	mechanism	mechanism_labeled	0.1	aupr	0.3333333333333333	209	1	208	0.004784688995215311	0.8154960976022896	1	2	206	0	0.9904306220095693	0.9951923076923077	0.3333333333333333	1.0	0.5	0.5745678420588861	0.9903846153846154	0.3333333333333333	0.9903846153846153	0.9952153110047847	0.5	0.0	69.66666666666667
wyosine_pathway	mechanism	mechanism_labeled	0.3	aupr	0.3333333333333333	209	1	208	0.004784688995215311	0.7858249318215261	1	2	206	0	0.9904306220095693	0.9951923076923077	0.3333333333333333	1.0	0.5	0.5745678420588861	0.9903846153846154	0.3333333333333333	0.9903846153846154	0.9952153110047847	0.5	0.0	69.66666666666667
wyosine_pathway	mechanism	mechanism_labeled	1.0	aupr	0.3333333333333333	209	1	208	0.004784688995215311	0.7541190445530621	1	2	206	0	0.9904306220095693	0.9951923076923077	0.3333333333333333	1.0	0.5	0.5745678420588861	0.9903846153846154	0.3333333333333333	0.9903846153846154	0.9952153110047847	0.5	0.0	69.66666666666667
wyosine_pathway	mechanism	mechanism_labeled	3.0	aupr	0.3333333333333333	209	1	208	0.004784688995215311	0.7243618270247625	1	2	206	0	0.9904306220095693	0.9951923076923077	0.3333333333333333	1.0	0.5	0.5745678420588861	0.9903846153846154	0.3333333333333333	0.9903846153846154	0.9952153110047847	0.5	0.0	69.66666666666667
wyosine_pathway	mechanism	mechanism_labeled	10.0	aupr	0.3333333333333333	209	1	208	0.004784688995215311	0.6868415877069499	1	2	206	0	0.9904306220095693	0.9951923076923077	0.3333333333333333	1.0	0.5	0.5745678420588861	0.9903846153846154	0.3333333333333333	0.9903846153846154	0.9952153110047847	0.5	0.0	69.66666666666667
